code,date,aid,title,eqr_new,still_miss,frag
000019,2022-11-22,1215166625,深粮控股：深圳市深粮控股股份有限公司关于年度审计机构变更项目质量控制复核人的公告,,True,年度审计机构变更项目质量控制复核人的公告本公司及董事会全体成员保证信息 || 的《关于变更公司项目质量控制复核人的函》，现将具体情况公告如下：一、本 || 派张帆先生为公司项目质量控制复核人，鉴于立信内部工作调整，为更好地完成 || 报表审计工作，对项目质量控制复核人进行变更，拟指派王红娜女士为项目质量 || 指派王红娜女士为项目质量控制复核人。二、变更后的项目质量复核人信息王红 || 二、变更后的项目质量复核人信息王红娜女士，中国注册会计师。20
000020,2022-04-26,1213102239,深华发Ａ：关于续聘2022年度财务报告审计机构和内部控制审计机构的公告,,True,单位兼职。拟安排项目质量控制复核人员：汤艳群汤艳群从2010年3月至今 || 签字注册会计师及质量控制复核人员近三年不存在因执业行为受到刑事处罚 || 签字注册会计师及质量控制复核人员不存在违反《中国注册会计师职业道德
000020,2024-04-23,1219740644,深华发Ａ：关于续聘2024年度财务报告审计机构和内部控制审计机构的议案,,True,单位兼职。拟安排项目质量控制复核人员：汤艳群（特殊普通合伙）汤艳群从2 || 签字注册会计师及质量控制复核人员近三年不存在因执业行为受到刑事处罚 || 签字注册会计师及质量控制复核人员不存在违反《中国注册会计师职业道德
000020,2023-04-25,1216550969,深华发Ａ：关于续聘2023年度财务报告审计机构和内部控制审计机构的公告,,True,单位兼职。拟安排项目质量控制复核人员：汤艳群汤艳群从2010年3月至今 || 签字注册会计师及质量控制复核人员近三年不存在因执业行为受到刑事处罚 || 签字注册会计师及质量控制复核人员不存在违反《中国注册会计师职业道德
000025,2021-08-28,1210897820,特  力Ａ：关于续聘2021年度审计机构的公告,,True,三年复核过特发制复核人会计师服务等10家以上上市公司审计报 || 签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存违反《中国注册会计师职业道德守则
000025,2022-09-30,1214711407,特  力Ａ：关于续聘2022年度审计机构的公告,,True,业；近三年签陶亮复核人计师署或复核过华谊嘉信、捷捷微电、万 || 册会计师秦昌明、项目质量控制复核人陶亮近三年不存在因执业行为受到刑事处 || 签字注册会计师、项目质量控制复核人不存违反《中国注册会计师职业道德守则
000025,2023-02-03,1215756231,特  力Ａ：关于续聘2022年度审计机构的公告,,True,会计师事务陶亮制复核人会计师所执业；近三年签署或复核过华谊 || 册会计师秦昌明、项目质量控制复核人陶亮近三年不存在因执业行为受到刑事处 || 签字注册会计师、项目质量控制复核人不存违反《中国注册会计师职业道德守则
000029,2023-10-28,1218181632,深深房Ａ：关于拟聘任2023年度会计师事务所的公告,,True,（603177）复核人众望布艺（605003）等2.诚信记 || 签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4.审计
000031,2024-04-27,1219863729,大悦城：关于拟续聘会计师事务所的公告,,True,册会计师、拟担任独立复核合伙人均具有相应资质和专业胜任能力，具体如 || 公司1家。拟担任质量复核合伙人：汤其美先生，1996年获得中国注册 || 签字注册会计师、项目质量控制复核人近三年无执业行为受到刑事处罚、受到证 || 签字注册会计师、项目质量控制复核人等从业人员不存在违反《中国注册会计师
000034,2020-03-31,1207431284,神州数码：关于续聘公司2020年度会计师事务所的公告,,True,师是无13年项目独立复核合伙人-谭小青：时间工作单位职务1989.
