code,date,aid,title,eqr_new,still_miss,frag
000002,2024-03-29,1219444730,万科A：关于拟续聘2024年度会计师事务所的公告,厉俊,False,
000002,2023-03-31,1216273934,万科A：关于拟续聘2023年度会计师事务所的公告,厉俊,False,
000020,2021-04-27,1209812792,深华发Ａ：关于续聘2021年度财务报告审计机构和内部控制审计机构的公告,宋治忠,False,
000026,2023-02-11,1215827780,飞亚达：关于审计机构变更项目质量复核人的公告,本次,False,
000050,2022-08-30,1214449399,深天马Ａ：关于续聘2022年度会计师事务所的公告,唐卫强,False,
000050,2021-03-13,1209380067,深天马Ａ：关于聘任2021年度会计师事务所的公告,唐卫强,False,
000050,2023-08-31,1217710891,深天马Ａ：关于续聘2023年度会计师事务所的公告,王书阁,False,
000058,2021-12-10,1211865438,深 赛 格：关于续聘2021年度审计机构的公告,李正卫,False,
000058,2020-12-05,1208858143,深 赛 格：关于续聘2020年度审计机构的公告,李正卫,False,
000063,2020-03-28,1207417929,中兴通讯：关于拟续聘审计机构的公告,钟晔,False,
000063,2021-04-29,1209847867,中兴通讯：关于拟续聘审计机构的公告,钟晔,False,
000063,2023-03-11,1216094379,中兴通讯：关于拟续聘审计机构的公告,钟晔,False,
000063,2022-03-09,1212529509,中兴通讯：关于拟续聘审计机构的公告,钟晔,False,
000063,2024-03-09,1219266475,中兴通讯：关于拟续聘审计机构的公告,钟晔,False,
000068,2021-04-27,1209813857,华控赛格：关于续聘会计师事务所的公告,王曙晖,False,
000078,2023-04-28,1216662234,海王生物：关于续聘2023年度审计机构的公告,梁卫丽,False,
000078,2024-04-30,1219929162,海王生物：关于续聘2024年度审计机构的公告,梁卫丽,False,
000096,2021-04-08,1209649942,广聚能源：拟续聘会计师事务所的公告,王季民、龚勇,False,
000301,2020-04-09,1207467479,东方盛虹：关于拟聘任公司2020年度财务审计机构和内控审计机构的公告,杜志强,False,
000338,2021-03-31,1209491280,潍柴动力：潍柴动力股份有限公司关于续聘会计师事务所的公告,徐振、左伟,False,
000407,2021-04-28,1209826546,胜利股份：胜利股份关于续聘会计师事务所的公告,李洪,False,
000415,2021-01-07,1209058306,渤海租赁：关于续聘会计师事务所的公告,王宁,False,
000420,2020-04-10,1207471729,吉林化纤：关于拟续聘会计师事务所的公告,穆笛,False,
000423,2020-04-30,1207680354,东阿阿胶：关于续聘2020年度审计机构的公告,赵宁,False,
000422,2021-04-29,1209852809,ST宜化：关于续聘会计师事务所的公告,刘仁勇,False,
000422,2022-04-09,1212858018,湖北宜化：关于续聘会计师事务所的公告,肖献敏,False,
000503,2021-04-24,1209794125,国新健康：关于续聘2021年度会计师事务所的公告,郝学花,False,
000503,2022-04-30,1213263833,国新健康：关于续聘2022年度会计师事务所的公告,郝学花,False,
000506,2020-12-26,1208995178,中润资源：关于聘任会计师事务所的公告,张金华,False,
000510,2022-04-27,1213132656,新金路：关于拟续聘会计师事务所的公告,王侠,False,
000510,2021-12-28,1212031791,新金路：关于变更会计师事务所的公告,王侠,False,
000510,2023-04-08,1216356542,新金路：关于拟续聘会计师事务所的公告,王侠,False,
000510,2024-04-27,1219855844,新金路：关于拟续聘会计师事务所的公告,王侠,False,
000502,2020-03-30,1207419585,绿景控股：关于续聘立信会计师事务所（特殊普通合伙）为公司2020年度审计机构的公告,权计伟,False,
000502,2021-04-30,1209872514,绿景控股：绿景控股股份有限公司关于续聘立信会计师事务所（特殊普通合伙）为公司2021年度审计机构的公告,权计伟,False,
000517,2023-06-13,1217045401,荣安地产：关于续聘会计师事务所的公告,顾春华,False,
000520,2024-04-26,1219826525,凤凰航运：凤凰航运关于续聘2024年度审计机构的公告,刘仁勇,False,
000520,2023-10-28,1218184583,凤凰航运：2023-035凤凰航运关于拟变更2023年度审计机构的公告20231028,刘仁勇,False,
000525,2020-06-30,1207968989,红 太 阳：关于续聘公司2020年度审计机构的公告,伍敏、肖厚祥,False,
000529,2023-10-28,1218183634,广弘控股：关于续聘立信会计师事务所（特殊普通合伙）的公告,廖慕桃,False,
000532,2021-03-24,1209437677,华金资本：关于拟续聘会计师事务所的公告,包铁军,False,
000532,2022-03-24,1212651669,华金资本：关于拟续聘会计师事务所的公告,陈良,False,
000564,2020-04-30,1207687853,供销大集：关于续聘信永中和会计师事务所的公告,中国,False,
000565,2022-12-13,1215333012,渝三峡Ａ：关于拟变更会计师事务所的公告,肖菲,False,
000565,2023-04-27,1216617159,渝三峡Ａ：拟续聘会计师事务所的公告,肖菲,False,
000566,2020-04-30,1207685443,海南海药：关于拟续聘会计师事务所的公告,王桥,False,
000570,2020-04-11,1207480622,苏常柴Ａ：关于续聘2020年度审计机构的公告,均具备,False,
000571,2022-12-27,1215456607,ST大洲：关于续聘会计师事务所的公告,牟立娟,False,
000571,2021-11-11,1211551412,ST大洲：关于续聘会计师事务所的公告,唐卫强,False,
000571,2021-02-10,1209264703,*ST大洲：关于变更会计师事务所的公告,唐卫强,False,
000572,2020-03-31,1207430777,*ST 海马：关于拟续聘会计师事务所的公告,中国,False,
000581,2020-04-21,1207537792,威孚高科：关于续聘2020年度审计机构的公告,均具备,False,
000581,2022-04-19,1212958507,威孚高科：关于续聘2022年度审计机构的公告,黄德明,False,
000587,2020-04-30,1207704390,金洲慈航：关于续聘2020年度审计机构的公告,拥有,False,
000586,2022-11-26,1215211224,汇源通信：四川汇源光通信股份有限公司关于拟变更会计师事务所的公告,王许,False,
000586,2023-11-18,1218369369,汇源通信：四川汇源光通信股份有限公司关于拟续聘会计师事务所的公告,王忆、王许,False,
000605,2022-04-30,1213262665,渤海股份：关于拟续聘会计师事务所的公告,孔繁萍,False,
000606,2021-12-11,1211875439,ST顺利：关于续聘会计师事务所的公告,拥有,False,
000605,2021-04-30,1209869275,渤海股份：关于拟续聘会计师事务所的公告,孔繁萍,False,
000606,2022-10-28,1214942834,*ST顺利：关于拟变更会计师事务所的公告,刘锦英,False,
000605,2023-04-29,1216696379,渤海股份：关于续聘会计师事务所的公告,钱敏,False,
000605,2023-12-12,1218582733,渤海股份：关于变更会计师事务所的公告,陈修俭,False,
000599,2021-04-15,1209690351,青岛双星：关于拟聘任会计师事务所的公告,黄海、董洪军,False,
000608,2020-04-21,1207539264,阳光股份：关于拟聘任公司2020年度审计机构的公告,包铁军,False,
000612,2023-10-27,1218167863,焦作万方：焦作万方铝业股份有限公司关于聘任公司2023年度审计机构并决定其审计费用的公告,冯发明,False,
000612,2022-01-28,1212298203,焦作万方：焦作万方铝业股份有限公司关于聘任公司2021年度审计机构并决定其审计费用的公告,冯发明,False,
000612,2023-01-14,1215608221,焦作万方：焦作万方铝业股份有限公司关于聘任公司2022年度审计机构并决定其审计费用的公告,冯发明,False,
000616,2021-04-30,1209872700,海航投资：关于续聘大华会计师事务所的公告,李海成,False,
000616,2023-04-28,1216662355,ST海投：2023-037：关于续聘大华会计师事务所的公告,李相繁,False,
000599,2022-04-29,1213214289,青岛双星：关于拟聘任会计师事务所的公告,黄海、董洪军,False,
000617,2020-04-02,1207448097,中油资本：关于续聘公司2020年度会计师事务所的公告,朱晓东、韩子荣,False,
000623,2020-04-25,1207609256,吉林敖东：关于续聘会计师事务所的公告,韩波、支力,False,
000627,2021-04-30,1209866440,天茂集团：天茂集团拟聘任会计师事务所的公告,刘仁勇,False,
000627,2022-04-30,1213249176,天茂集团：2022-013-天茂集团拟聘任会计师事务所的公告0429,肖献敏,False,
000632,2024-04-25,1219790707,三木集团：关于拟续聘2024年度会计师事务所的公告,陈碧芸,False,
000633,2023-01-17,1215627801,合金投资：关于拟变更会计师事务所的公告,冯发明,False,
000609,2020-04-28,1207646019,中迪投资：关于拟续聘会计师事务所的公告,许来正、张福建,False,
000635,2022-08-30,1214442473,英 力 特：关于续聘公司2022年度财务报告审计机构的的公告,李洪,False,
000650,2020-04-29,1207653695,仁和药业：关于拟续聘2020年度会计师事务所的公告,包铁军,False,
000650,2021-04-23,1209768377,仁和药业：公司拟续聘2021年度会计师事务所的公告（已取消）,李海成,False,
000650,2021-05-11,1209948149,仁和药业：公司拟续聘2021年度会计师事务所的公告(更新后),李海成,False,
000650,2022-04-26,1213098346,仁和药业：公司拟续聘2022年度会计师事务所的公告,李海成,False,
000650,2024-04-26,1219816198,仁和药业：公司关于变更会计师事务所暨聘请2024年度审计机构的公告,胡彬,False,
000650,2023-04-26,1216576023,仁和药业：公司拟续聘2023年度会计师事务所的公告,涂新春,False,
000652,2022-10-26,1214901004,泰达股份：关于拟聘任2022年度会计师事务所的公告,李远梅,False,
000652,2023-04-12,1216381086,泰达股份：关于续聘2023年度会计师事务所的公告,李远梅,False,
000652,2022-02-08,1212319668,泰达股份：关于拟变更会计师事务所的公告,崔江涛,False,
000652,2024-04-24,1219771435,泰达股份：关于续聘2024年度会计师事务所的公告,李远梅,False,
000655,2021-03-20,1209417749,金岭矿业：关于拟续聘会计师事务所的公告,陈修俭,False,
000652,2021-10-26,1211374417,泰达股份：关于拟变更会计师事务所的公告,陈修俭,False,
000656,2020-03-24,1207395227,金科股份：关于拟续聘会计师事务所的公告,姚本霞,False,
000661,2021-03-12,1209370597,长春高新：关于拟续聘2021年度会计师事务所的公告,冯发明,False,
000666,2021-04-22,1209759112,经纬纺机：关于续聘会计师事务所的公告,冯发明,False,
