stkcd,year,eng1_name,eng2_name,eng1_pid,eng2_pid,eqr_name,eqr_pid,eqr_ann_date,worktie,worktie_eng1_eng2,tie_projects
000001,2020,陈岸强,刘宇峰,30545475、30545475.0,30618911、30618911.0,,,,0,0,
000001,2021,昌华,王阳燕,30280543、30280543.0,30640462、30640462.0,范勋,30984953.0,2020-10-22,0,0,
000001,2022,昌华,王阳燕,30280543、30280543.0,30640462、30640462.0,梁成杰,30427925.0,2022-03-10,0,1,
000001,2023,昌华,王阳燕,30280543、30280543.0,30640462、30640462.0,田志勇,30391287.0,2024-03-15,0,1,
000002,2020,陈泳意,李默然,30428009、30428009.0,30578359、30578359.0,张京京,30406768.0,2020-03-18,0,1,
000002,2021,周永明,李默然,30427997、30427997.0,30578359、30578359.0,李婉薇,30260833.0,2021-03-31,0,0,
000002,2022,周永明,李默然,30427997、30427997.0,30578359、30578359.0,李婉薇,30260833.0,2022-03-31,0,1,
000002,2023,周永明,李默然,30427997、30427997.0,30578359、30578359.0,,,,0,1,
000004,2020,申宏波,万海青,30430956、30430956.0,30618415、30618415.0,,,,0,0,
000004,2021,付细军,庄翠曼,30568579、30568579.0,30584117、30584117.0,包铁军,,2020-10-29,0,1,
000004,2022,侯胜利,杜丽,30417846、30417846.0,30417879、30417879.0,范震杰,30353479.0,2021-11-10,0,1,
000004,2023,侯胜利,杜丽,30417846、30417846.0,30417879、30417879.0,逯文君,30417907.0,2023-10-28,1,1,AUD-600186-2020
000005,2020,胡兵,曾毅凯,30427519、30427519.0,30427508、30427508.0,张逸,30427435.0,2020-05-23,0,1,
000005,2021,刘凤美,高凤霞,30321023、30321023.0,30321830、30321830.0,,,,0,1,
000005,2022,王栋,王维,30321829、30321829.0、30321832.0,30420886.0、30684917、30684917.0,崔江涛,30426536.0,2022-04-27,0,0,
000006,2020,黎明,陈子涵,30264277、30264277.0,30341372、30341372.0,王皓东,30644338.0,2020-04-09,0,1,
000006,2021,黎明,陈子涵,30264277、30264277.0,30341372、30341372.0,王皓东,30644338.0,2021-03-31,0,1,
000006,2022,陈子涵,谢俊英,30341372、30341372.0,30546785、30546785.0,王皓东,30644338.0,2022-04-16,0,0,
000006,2023,李建军,吴汪斌,30426675.0、30625952、30625952.0,30336847、30336847.0,陈华,30573997.0、30737513.0,2024-04-27,0,0,
000007,2020,胡芬芳,肖志军,30547205、30547205.0,30547206、30547206.0,,,,0,1,
000007,2021,于龙斌,邓雪雷,30357418、30357418.0,30435570、30435570.0,王国辉,,2021-01-04,0,0,
000007,2022,肖志军,李国强,30547206、30547206.0,30417534.0、30684918、30684918.0,钱小祥,,2021-11-24,0,0,
000007,2023,肖志军,黄弦,30547206、30547206.0,30723705、30723705.0,王国辉,,2023-11-17,0,0,
000008,2020,宋刚,王丽娜,30315056、30315056.0,30441649、30441649.0,,,,0,0,
000008,2021,宋刚,王丽娜,30315056、30315056.0,30441649、30441649.0,梁晓燕,30184316.0,2020-12-08,0,1,
000008,2022,宋刚,王丽娜,30315056、30315056.0,30441649、30441649.0,梁晓燕,30184316.0,2021-10-29,0,1,
000008,2023,宋刚,王丽娜,30315056、30315056.0,30441649、30441649.0,梁晓燕,30184316.0,2023-12-16,0,1,
000009,2020,刘钧,赵文凌,30291453、30291453.0,30313450、30313450.0,谢峰,30268711.0,2020-04-29,0,1,
000009,2021,罗明国,王怡菲,30336386、30336386.0,30425582、30425582.0,王郁,30261725.0、30416852.0,2021-03-27,0,0,
000009,2022,罗明国,王怡菲,30336386、30336386.0,30425582、30425582.0,王郁,30261725.0、30416852.0,2022-03-31,0,1,
000009,2023,罗明国,王勉,30336386、30336386.0,30425670、30425670.0,王明璀,30286593.0,2024-04-16,0,0,
000010,2020,李光初,武俐,30278262、30278262.0,30423169、30423169.0,,,,0,0,
000010,2021,王晓清,武俐,30278263、30278263.0,30423169、30423169.0,,,,0,0,
000010,2022,王晓清,蔡艳芳,30278263、30278263.0,30423168、30423168.0,,,,0,0,
000010,2023,王晓清,蔡艳芳,30278263、30278263.0,30423168、30423168.0,,,,0,1,
000011,2020,黎明,陈子涵,30264277、30264277.0,30341372、30341372.0,王皓东,30644338.0,2020-04-08,0,1,
000011,2021,黎明,陈子涵,30264277、30264277.0,30341372、30341372.0,王皓东,30644338.0,2021-03-31,0,1,
000011,2022,陈子涵,钟钦方,30341372、30341372.0,30653440、30653440.0,王皓东,30644338.0,2022-03-30,0,1,
000011,2023,陈子涵,钟钦方,30341372、30341372.0,30653440、30653440.0,王皓东,30644338.0,2023-03-25,0,1,
000012,2020,周先宏,孙伟捷,30321145、30321145.0,30547793.0、N/A,,,,0,1,
000012,2021,周先宏,武宜洛,30321145、30321145.0,30417392、30417392.0,,,,0,0,
000012,2022,王东兰,魏健,30684080、30684080.0,30684081、30684081.0,武宜洛,30417392.0,2022-10-25,0,0,
000012,2023,苏洋,杨华,30130868、30130868.0,30420278.0、30425457.0、30429900、30429900.0,邱连强,,2023-11-14,0,1,
000014,2020,邓冬梅,梁嫦娥,30372335、30372335.0,30583723、30583723.0,,,,0,0,
000014,2021,林崇云,裘小莹,30363670、30363670.0,30330384、30330384.0,王兰萍,30261501.0,2020-10-24,0,1,
000014,2022,林崇云,裘小莹,30363670、30363670.0,30330384、30330384.0,邱丽婷,,2021-10-26,0,1,
000014,2023,林崇云,柳璟屏,30363670、30363670.0,30269247、30269247.0,陈耘涛,30260384.0,2023-10-31,0,0,
000016,2020,郭东超,詹妙灵,30316224、30316224.0,30545793、30545793.0,,,,0,0,
000016,2021,汤其美,刘剑华,3047506、3047506.0,30307364、30307364.0,,,,0,1,
000016,2022,汤其美,刘丽红,3047506、3047506.0,30545791、30545791.0,,,,0,1,
000016,2023,汤其美,刘丽红,3047506、3047506.0,30545791、30545791.0,,,,0,1,
000017,2020,陈志刚,张磊,3091620、3091620.0,30304860.0、30329141.0、30417910.0、30425745.0、30428557、30428557.0、30766063.0,王皓东,30644338.0,2020-06-09,0,1,
000017,2021,屈先富,邓军,30257163、30257163.0,30322024.0、30653969、30653969.0,王皓东,30644338.0,2021-08-27,0,0,
000017,2022,屈先富,邓军,30257163、30257163.0,30322024.0、30653969、30653969.0,汪吉军,30324248.0,2022-06-07,0,1,
000017,2023,黄国香,付志涛,30322903、30322903.0,30619522、30619522.0,陈依航,30316042.0,2024-05-10,0,1,
000019,2020,祁涛,陶国恒,30291292、30291292.0,30430128、30430128.0,黄瑾,30545343.0,2020-04-28,1,0,AUD-000061-2019;AUD-300136-2018;AUD-300136-2019
000019,2021,祁涛,陶国恒,30291292、30291292.0,30430128、30430128.0,张帆,30258129.0、30359850.0、30682355.0、30733274.0,2021-04-27,0,1,
000019,2022,祁涛,陶国恒,30291292、30291292.0,30430128、30430128.0,张帆,30258129.0、30359850.0、30682355.0、30733274.0,2022-04-26,0,1,
000019,2023,高虹,王忠年,30331309、30331309.0,30629227、30629227.0,杜非,,2023-11-25,0,0,
000020,2020,凡章,杨婷,30428765、30428765.0,30423164、30423164.0,宋治忠,30673020.0,2020-04-30,0,0,
000020,2021,姚翠玲,杨婷,30428841、30428841.0,30423164、30423164.0,,,,0,0,
000020,2022,陈鹏,王金云,30281302、30281302.0、30428778.0、30683384.0、30693653.0,30430657、30430657.0,,,,0,0,
000020,2023,陈鹏,王金云,30281302、30281302.0、30428778.0、30683384.0、30693653.0,30430657、30430657.0,,,,0,1,
000021,2020,章顺文,张嫣明,30312064、30312064.0,30618582、30618582.0,谢晖,30269479.0,2020-04-24,0,0,
000021,2021,章顺文,张嫣明,30312064、30312064.0,30618582、30618582.0,谢晖,30269479.0,2021-04-30,0,1,
000021,2022,龚荣华,韩士民,30428798、30428798.0,30683507、30683507.0,徐冬冬,30305587.0,2022-04-21,0,0,
000021,2023,龚荣华,韩士民,30428798、30428798.0,30683507、30683507.0,员冯发明,,2023-09-08,0,1,
000023,2020,魏强,王崇岳,30290650、30290650.0,30619124、30619124.0,钱学芹,,2020-09-30,0,0,
000023,2021,衣志坤,栾翔,30369989、30369989.0,30619121、30619121.0,,,,0,0,
000023,2022,李勇,蒋翠华,30420191、30420191.0、30422197.0、30423129.0、30579890.0、30583726.0、30984751.0,30420187、30420187.0,钱学芹,,2021-10-30,0,0,
000023,2023,陈海强,陈新良,30649147、30649147.0,30653995、30653995.0,张繁荣,30417093.0,2023-12-09,0,1,
000025,2020,李巧仪,秦昌明,30260767、30260767.0,30298669、30298669.0,,,,0,1,
000025,2021,李巧仪,秦昌明,30260767、30260767.0,30298669、30298669.0,,,,0,1,
000025,2022,陈链武,秦昌明,30429771、30429771.0,30298669、30298669.0,,,,0,0,
000025,2023,吴亮,谢明明,30547047、30547047.0,30683080、30683080.0,纪小健,30363119.0,2023-09-22,0,0,
000026,2020,董旭,孟俊峰,30354236、30354236.0,30583474、30583474.0,郑建彪,30169698.0,2020-03-20,0,1,
000026,2021,龙娇,王冬,30291415、30291415.0,30640441、30640441.0,唐卫强,,2021-08-20,0,0,
000026,2022,龙娇,王冬,30291415、30291415.0,30640441、30640441.0,唐卫强,,2022-03-10,0,1,
000026,2023,龙娇,王冬,30291415、30291415.0,30640441、30640441.0,敖都吉雅,30324357.0,2024-03-14,0,1,
000027,2020,廖文佳,朱婷,30320796、30320796.0,30427886、30427886.0,,,,0,1,
000027,2021,陈子民,林启兴,30618291、30618291.0,30429169、30429169.0,王洁,30334702.0、30654267.0,2021-04-20,1,1,AUD-003816-2020
000027,2022,陈子民,林启兴,30618291、30618291.0,30429169、30429169.0,王洁,30334702.0、30654267.0,2022-08-24,1,1,AUD-003816-2020;AUD-003816-2021
000027,2023,陈子民,林启兴,30618291、30618291.0,30429169、30429169.0,王洁,30334702.0、30654267.0,2024-04-20,1,1,AUD-003816-2020;AUD-003816-2021;AUD-003816-2022
000028,2020,李剑光,李远芬,30346686、30346686.0,30583724、30583724.0,陈杰,30430675.0、30545020.0、30579801.0,2020-04-22,0,1,
000028,2021,邓冬梅,李远芬,30372335、30372335.0,30583724、30583724.0,谢枫,30320795.0,2021-07-31,1,0,AUD-600548-2016;AUD-600548-2017;AUD-600548-2018;AUD-601899-2015;AUD-601899-2016;AUD-601899-2017
000028,2022,邓冬梅,吴影,30372335、30372335.0,30682938、30682938.0,谢枫,30320795.0,2022-06-29,1,0,AUD-600548-2016;AUD-600548-2017;AUD-600548-2018;AUD-601899-2015;AUD-601899-2016;AUD-601899-2017
000028,2023,陈耘涛,魏泽,30260384、30260384.0,30726733、30726733.0,孟江峰,,2024-04-08,0,0,
000029,2020,赵娟娟,蒋晓明,30329889、30329889.0,30321342、30321342.0,,,,0,0,
000029,2021,赵娟娟,蒋晓明,30329889、30329889.0,30321342、30321342.0,郭丽娟,30429843.0,2021-07-01,0,1,
000029,2022,赵娟娟,蒋晓明,30329889、30329889.0,30321342、30321342.0,,,,0,1,
000029,2023,王焕森,蔡晓东,30318399、30318399.0,30268347、30268347.0,郭丽娟,30429843.0,2022-10-29,0,1,
000030,2020,张富根,杨志存,3022708、3022708.0,30546915、30546915.0,晁小燕,30263304.0,2020-04-23,0,1,
000030,2021,张富根,杨志存,3022708、3022708.0,30546915、30546915.0,晁小燕,30263304.0,2021-04-29,0,1,
000030,2022,苗策,王桂香,30268109、30268109.0,30429474、30429474.0,晁小燕,30263304.0,2022-04-20,0,0,
000030,2023,苗策,王桂香,30268109、30268109.0,30429474、30429474.0,毕强,30198998.0,2024-04-22,0,1,
000031,2020,张昆,马海霞,30295084、30295084.0,30329750、30329750.0,谭小青,30263524.0,2020-03-31,0,1,
000031,2021,张昆,常景波,30295084、30295084.0,30620129、30620129.0,谭小青,30263524.0,2021-03-27,0,0,
