kind,code,label,year,date,names
IPO,,乔丹体育股份有限公司,2011,2011-11-21,"['汪阳', '刘雪瑾', '袁学伟']"
IPO,,四川新荷花中药饮片股份有限公司,2011,2011-11-21,"['阮响华', '邱鸿']"
IPO,,河南裕华光伏新材料股份有限公司,2011,2011-11-21,"['谢玉敏', '李庆强']"
IPO,,南京斯迈柯特种金属装备股份有限公司,2011,2011-12-15,"['胡毅', '肖丽娟']"
IPO,,上海和鹰机电科技股份有限公司,2012,2012-01-05,"['孙立倩', '黄恺']"
IPO,,厦门精图信息技术股份有限公司,2012,2012-01-06,"['屠颖', '陈宗银', '刘泽波']"
IPO,,上海瑞创网络科技股份有限公司,2012,2012-02-13,"['姚宁', '李耀堂']"
IPO,,包头市神润高新材料股份有限公司,2012,2012-02-16,"['赵斌', '祁涛']"
IPO,,苏州思睿屹新材料股份有限公司,2012,2012-02-21,"['吴晓辉', '吴翔']"
IPO,,日地太阳能电力股份有限公司,2012,2012-02-21,"['钟建国', '王强']"
IPO,,广州市怡文环境科技股份有限公司,2012,2012-02-21,"['杨文蔚', '冼宏飞']"
IPO,,深圳市元征科技股份有限公司,2012,2012-02-27,"['董超', '张燕']"
IPO,,信息产业电子第十一设计研究院科技工程股份有限公司,2012,2012-02-28,"['申军', '唐洪春']"
IPO,,北京市天元网络技术股份有限公司,2012,2012-03-07,"['闫丙旗', '李冬梅']"
IPO,,湖南金大地材料股份有限公司,2012,2012-03-08,"['金益平', '周红宇']"
IPO,,深圳市泰昂能源科技股份有限公司,2012,2012-03-12,"['陈葆华', '邢敏']"
IPO,,辽宁益康生物股份有限公司,2012,2012-03-14,"['李宝玉', '朱双润']"
IPO,,宁夏日晶新能源装备股份有限公司,2012,2012-03-15,"['张军书', '刘均刚', '李锋', '李红', '董德顺']"
IPO,,江苏斯菲尔电气股份有限公司,2012,2012-03-16,"['沈岩', '华可天']"
IPO,,广东秋盛资源股份有限公司,2012,2012-03-19,"['巩启春', '李洪']"
IPO,,山东宏艺科技股份有限公司,2012,2012-03-28,"['王传顺', '魏倩婷']"
IPO,,陕西秦宝牧业股份有限公司,2012,2012-03-30,"['王晖', '刘学伟']"
IPO,,中航文化股份有限公司,2012,2012-03-30,"['童登书', '梁卫丽']"
IPO,,北京志诚泰和数码办公设备股份有限公司,2012,2012-04-06,"['吴杰', '代娟']"
IPO,,广东珠江桥生物科技股份有限公司,2012,2012-04-06,"['王韶华', '陈昭']"
IPO,,合肥市百胜科技发展股份有限公司,2012,2012-04-10,"['潘峰', '王静', '黄敬臣']"
IPO,,浙旅控股股份有限公司,2012,2012-04-11,"['沈利刚', '洪全付']"
IPO,,广东新大地生物科技股份有限公司,2012,2012-04-12,"['王海滨', '刘春奎']"
IPO,,福建省三奥信息科技股份有限公司,2012,2012-04-12,"['童益恭', '肖军']"
IPO,,广西华锡集团股份有限公司,2012,2012-04-19,"['邹宏文', '王越', '李秋玲', '王越']"
IPO,,洁华控股股份有限公司,2012,2012-04-19,"['沃巍勇', '罗联玬']"
IPO,,河北沧海重工股份有限公司,2012,2012-04-19,"['韩景利', '孙丽梅']"
IPO,,河北联冠电极股份有限公司,2012,2012-04-19,"['常明', '吴少华']"
IPO,,上海中技桩业股份有限公司,2012,2012-04-19,"['赵蓉', '周敏']"
IPO,,山西天能科技股份有限公司,2012,2012-04-23,"['胡小黑', '吴国民']"
IPO,,北京东方道迩信息技术股份有限公司,2012,2012-04-24,"['杜蕊', '魏强']"
IPO,,金龙精密铜管集团股份有限公司,2012,2012-04-24,"['邵立新', '王亮']"
IPO,,淮北矿业股份有限公司,2012,2012-04-24,"['潘峰', '黄亚琼', '熊明峰']"
IPO,,宁波华龙电子股份有限公司,2012,2012-04-24,"['詹军', '叶胜平']"
IPO,,北京爱康宜诚医疗器材股份有限公司,2012,2012-04-26,"['赵斌', '金华']"
IPO,,中国邮政速递物流股份有限公司,2012,2012-04-28,"['王蕾', '田伟']"
IPO,,焦作制动器股份有限公司,2012,2012-05-07,"['耿磊', '唐玉荣']"
IPO,,汇胜集团股份有限公司,2012,2012-05-09,"['秦怀武', '杜业勤']"
IPO,,欧贝黎新能源科技股份有限公司,2012,2012-05-10,"['朱伟', '张建新', '陈科举']"
IPO,,广东凌丰集团股份有限公司,2012,2012-05-14,"['王建新', '古范球', '王雅明']"
IPO,,武汉中博生物股份有限公司,2012,2012-05-17,"['王玉伟', '喻俊']"
IPO,,湖北银丰棉花股份有限公司,2012,2012-05-17,"['霍万魁', '陈伟', '吴术民', '霍万魁']"
IPO,,民生轮船股份有限公司,2012,2012-05-17,"['龙文虎', '梁正勇']"
IPO,,山西普德药业股份有限公司,2012,2012-05-17,"['戴定毅', '陈俭']"
IPO,,福建省卓越鸿昌建材装备股份有限公司,2012,2012-05-23,"['刘耀辉', '邱俊洲']"
IPO,,成都任我行软件股份有限公司,2012,2012-05-29,"['曾红', '陈宗英']"
IPO,,深圳市凯立德科技股份有限公司,2012,2012-06-06,"['张云鹤', '齐晓丽']"
IPO,,曲靖博浩生物科技股份有限公司,2012,2012-06-15,"['鲍琼', '丁恒花']"
IPO,,康新(中国)设计工程股份有限公司,2012,2012-06-15,"['沈蓉', '冯家俊']"
IPO,,江苏辉煌太阳能股份有限公司,2012,2012-06-26,"['王翔', '潘永祥']"
IPO,,上海金陵电子网络股份有限公司,2012,2012-06-27,"['沈蓉', '施剑春']"
IPO,,上海相宜本草化妆品股份有限公司,2012,2012-06-27,"['巫志声', '胡基', '严波']"
IPO,,福建瑞达精工股份有限公司,2012,2012-07-05,"['郑丽惠', '晏书敏']"
IPO,,昆山华恒焊接股份有限公司,2012,2012-07-06,"['伍敏', '郑欢成']"
IPO,,山东泰丰液压股份有限公司,2012,2012-07-11,"['钟建国', '毛晓东']"
IPO,,江苏天鸟高新技术股份有限公司,2012,2012-07-12,"['贾丽娜', '蔡卫华']"
IPO,,西安未来国际信息股份有限公司,2012,2012-07-16,"['童冰薇', '钱燕']"
IPO,,北京中矿环保科技股份有限公司,2012,2012-07-16,"['何晓明', '啜公明']"
IPO,,湖北永祥粮食机械股份有限公司,2012,2012-07-16,"['陈少明', '索还锁']"
IPO,,深圳市神舟电脑股份有限公司,2012,2012-07-26,"['何晓明', '金顺兴', '康雪艳']"
IPO,,四川新荷花中药饮片股份有限公司,2012,2012-08-28,"['阮响华', '邱鸿']"
IPO,,中海阳新能源电力股份有限公司,2012,2012-09-04,"['李慧', '李志林']"
IPO,,山东金创股份有限公司,2012,2012-10-25,"['王晖', '迟慰']"
IPO,,浙江珍诚医药在线股份有限公司,2012,2012-10-31,"['高峰', '戴隆松']"
IPO,,苏州阿诺精密切削技术股份有限公司,2012,2012-10-31,"['刘勇', '滕飞']"
IPO,,西安富士达科技股份有限公司,2012,2012-11-06,"['宋晓燕', '邱程红']"
IPO,,内蒙古凌志马铃薯科技股份有限公司,2012,2012-12-07,"['李岩', '单晓燕']"
