var,paper_n,paper_mean,paper_sd,paper_p25,paper_median,paper_p75,our_n,our_mean,our_sd,our_p25,our_median,our_p75,note
WORKTIE,16241.0,0.092,0.289,0.0,0.0,0.0,11657.0,0.0952,0.2935,0.0,0.0,0.0,
WORKTIE_ENG1_ENG2,16241.0,0.658,0.474,0.0,1.0,1.0,11657.0,0.6408,0.4798,0.0,1.0,1.0,
ALUM_TIE,16241.0,0.06,0.237,0.0,0.0,0.0,11657.0,0.0662,0.2487,0.0,0.0,0.0,
TEAM,16241.0,0.224,0.417,0.0,0.0,0.0,11657.0,0.2775,0.4478,0.0,0.0,1.0,
COREVIEW,16241.0,0.453,0.498,0.0,0.0,1.0,11657.0,0.3959,0.4891,0.0,0.0,1.0,
MAO,16241.0,0.032,0.176,0.0,0.0,0.0,11657.0,0.0438,0.2045,0.0,0.0,0.0,
ABSDA,15543.0,0.057,0.101,0.016,0.037,0.07,11090.0,0.0502,0.0471,0.0161,0.0361,0.0684,
SIZE,16241.0,8.542,1.31,7.597,8.3,9.257,11657.0,8.5842,1.3197,7.6432,8.3566,9.3117,
LEV,16241.0,0.412,0.205,0.248,0.403,0.558,11657.0,0.3836,0.2189,0.2133,0.3525,0.5178,
ROA,16241.0,0.034,0.073,0.009,0.036,0.071,11657.0,0.0293,0.0754,0.0068,0.034,0.0675,
LOSS,16241.0,0.181,0.385,0.0,0.0,0.0,11657.0,0.1995,0.3996,0.0,0.0,0.0,
BM,16241.0,0.358,0.173,0.233,0.339,0.466,11650.0,0.5494,0.466,0.2652,0.4278,0.6748,
CFO,16241.0,0.053,0.073,0.012,0.05,0.093,11657.0,0.0518,0.0715,0.011,0.0486,0.0914,
SUBS,,,,,,,,,,,,,本数据集未构建
AGE,16241.0,2.101,0.949,1.386,2.303,2.944,11478.0,2.0579,0.9875,1.3863,2.3026,2.9444,
TURNOVER,16241.0,0.616,0.466,0.347,0.524,0.755,11657.0,0.5989,0.4048,0.3372,0.5147,0.7459,
SOE,16241.0,0.29,0.454,0.0,0.0,1.0,11657.0,0.266,0.4419,0.0,0.0,1.0,
TENURE,16241.0,7.054,4.799,4.0,6.0,10.0,11657.0,7.7808,5.9922,3.0,6.0,11.0,
SIZE_AF,16241.0,14.854,1.198,14.113,15.374,15.699,11657.0,14.8702,1.1935,14.1154,15.3224,15.7384,
DSPEC_ENG,16241.0,0.373,0.484,0.0,0.0,1.0,11657.0,0.6237,0.4845,0.0,1.0,1.0,
DSPEC_EQR,16241.0,0.354,0.478,0.0,0.0,1.0,11657.0,0.2795,0.4488,0.0,0.0,1.0,
SAMEGEN,16241.0,0.783,0.412,1.0,1.0,1.0,10983.0,0.7902,0.4072,1.0,1.0,1.0,
CI,16241.0,0.436,0.328,0.144,0.355,0.714,11647.0,0.4275,0.3358,0.1339,0.3365,0.6974,
LOCAL,16241.0,0.654,0.476,0.0,1.0,1.0,11657.0,0.6661,0.4716,0.0,1.0,1.0,
INV,16241.0,0.124,0.11,0.05,0.101,0.164,11657.0,0.114,0.1101,0.0413,0.089,0.1491,
REC,16241.0,0.125,0.101,0.046,0.105,0.181,11657.0,0.126,0.101,0.045,0.1041,0.1833,
